0x8000FFFF, "E_UNEXPECTED", "Catastrophic failure",
0x8004016E, "CS_E_SCHEMA_MISMATCH", "The schema for the software installation data in the Active Directory does not match the required schema.",
0x8004016F, "CS_E_INTERNAL_ERROR", "An error occurred in the software installation data in the Active Directory.",
0x80040170, "CACHE_E_NOCACHE_UPDATED", "Cache not updated",
0x80040180, "OLEOBJ_E_NOVERBS", "No verbs for OLE object",
0x80040181, "OLEOBJ_E_INVALIDVERB", "Invalid verb for OLE object",
0x800401A0, "INPLACE_E_NOTUNDOABLE", "Undo is not available",
0x800401A1, "INPLACE_E_NOTOOLSPACE", "Space for tools is not available",
0x800401C0, "CONVERT10_E_OLESTREAM_GET", "OLESTREAM Get method failed",
0x800401C1, "CONVERT10_E_OLESTREAM_PUT", "OLESTREAM Put method failed",
0x800401C2, "CONVERT10_E_OLESTREAM_FMT", "Contents of the OLESTREAM not in correct format",
0x800401C3, "CONVERT10_E_OLESTREAM_BITMAP_TO_DIB", "There was an error in a Windows GDI call while converting the bitmap to a DIB",
0x800401C4, "CONVERT10_E_STG_FMT", "Contents of the IStorage not in correct format",
0x800401C5, "CONVERT10_E_STG_NO_STD_STREAM", "Contents of IStorage is missing one of the standard streams",
0x800401C6, "CONVERT10_E_STG_DIB_TO_BITMAP", "There was an error in a Windows GDI call while converting the DIB to a bitmap.",
0x800401D0, "CLIPBRD_E_CANT_OPEN", "OpenClipboard Failed",
0x800401D1, "CLIPBRD_E_CANT_EMPTY", "EmptyClipboard Failed",
0x800401D2, "CLIPBRD_E_CANT_SET", "SetClipboard Failed",
0x800401D3, "CLIPBRD_E_BAD_DATA", "Data on clipboard is invalid",
0x800401D4, "CLIPBRD_E_CANT_CLOSE", "CloseClipboard Failed",
0x800401E0, "MK_E_CONNECTMANUALLY", "Moniker needs to be connected manually",
0x800401E1, "MK_E_EXCEEDEDDEADLINE", "Operation exceeded deadline",
0x800401E2, "MK_E_NEEDGENERIC", "Moniker needs to be generic",
0x800401E3, "MK_E_UNAVAILABLE", "Operation unavailable",
0x800401E4, "MK_E_SYNTAX", "Invalid syntax",
0x800401E5, "MK_E_NOOBJECT", "No object for moniker",
0x800401E6, "MK_E_INVALIDEXTENSION", "Bad extension for file",
0x800401E7, "MK_E_INTERMEDIATEINTERFACENOTSUPPORTED", "Intermediate operation failed",
0x800401E8, "MK_E_NOTBINDABLE", "Moniker is not bindable",
0x800401E9, "MK_E_NOTBOUND", "Moniker is not bound",
0x800401EA, "MK_E_CANTOPENFILE", "Moniker cannot open file",
0x800401EB, "MK_E_MUSTBOTHERUSER", "User input required for operation to succeed",
0x800401EC, "MK_E_NOINVERSE", "Moniker class has no inverse",
0x800401ED, "MK_E_NOSTORAGE", "Moniker does not refer to storage",
0x800401EE, "MK_E_NOPREFIX", "No common prefix",
0x800401EF, "MK_E_ENUMERATION_FAILED", "Moniker could not be enumerated",
0x800401F0, "CO_E_NOTINITIALIZED", "CoInitialize has not been called.",
0x800401F1, "CO_E_ALREADYINITIALIZED", "CoInitialize has already been called.",
0x800401F2, "CO_E_CANTDETERMINECLASS", "Class of object cannot be determined",
0x800401F3, "CO_E_CLASSSTRING", "Invalid class string",
0x800401F4, "CO_E_IIDSTRING", "Invalid interface string",
0x800401F5, "CO_E_APPNOTFOUND", "Application not found",
0x800401F6, "CO_E_APPSINGLEUSE", "Application cannot be run more than once",
0x800401F7, "CO_E_ERRORINAPP", "Some error in application program",
0x800401F8, "CO_E_DLLNOTFOUND", "DLL for class not found",
0x800401F9, "CO_E_ERRORINDLL", "Error in the DLL",
0x800401FA, "CO_E_WRONGOSFORAPP", "Wrong operating system or operating system version for the application",
0x800401FB, "CO_E_OBJNOTREG", "Object is not registered",
0x800401FC, "CO_E_OBJISREG", "Object is already registered",
0x800401FD, "CO_E_OBJNOTCONNECTED", "Object is not connected to server",
0x800401FE, "CO_E_APPDIDNTREG", "Application was launched but it didn't register a class factory",
0x800401FF, "CO_E_RELEASED", "Object has been released",
0x00040200, "EVENT_S_SOME_SUBSCRIBERS_FAILED", "An event was able to invoke some but not all of the subscribers",
0x80040201, "EVENT_E_ALL_SUBSCRIBERS_FAILED", "An event was unable to invoke any of the subscribers",
0x00040202, "EVENT_S_NOSUBSCRIBERS", "An event was delivered but there were no subscribers",
0x80040203, "EVENT_E_QUERYSYNTAX", "A syntax error occurred trying to evaluate a query string",
0x80040204, "EVENT_E_QUERYFIELD", "An invalid field name was used in a query string",
0x80040205, "EVENT_E_INTERNALEXCEPTION", "An unexpected exception was raised",
0x80040206, "EVENT_E_INTERNALERROR", "An unexpected internal error was detected",
0x80040207, "EVENT_E_INVALID_PER_USER_SID", "The owner SID on a per-user subscription doesn't exist",
0x80040208, "EVENT_E_USER_EXCEPTION", "A user-supplied component or subscriber raised an exception",
0x80040209, "EVENT_E_TOO_MANY_METHODS", "An interface has too many methods to fire events from",
0x8004020A, "EVENT_E_MISSING_EVENTCLASS", "A subscription cannot be stored unless its event class already exists",
0x8004020B, "EVENT_E_NOT_ALL_REMOVED", "Not all the objects requested could be removed",
0x8004020C, "EVENT_E_COMPLUS_NOT_INSTALLED", "COM+ is required for this operation, but is not installed",
0x8004020D, "EVENT_E_CANT_MODIFY_OR_DELETE_UNCONFIGURED_OBJECT", "Cannot modify or delete an object that was not added using the COM+ Admin SDK",
0x8004020E, "EVENT_E_CANT_MODIFY_OR_DELETE_CONFIGURED_OBJECT", "Cannot modify or delete an object that was added using the COM+ Admin SDK",
0x8004020F, "EVENT_E_INVALID_EVENT_CLASS_PARTITION", "The event class for this subscription is in an invalid partition",
0x80040210, "EVENT_E_PER_USER_SID_NOT_LOGGED_ON", "The owner of the PerUser subscription is not logged on to the system specified",
